=== Training config ===
  algo=random  init=random  gens=2500  popsize=48
  cpus=16  node=p1cmp065.pax.tufts.edu
  outdir=/cluster/home/dparri03/robotics/LBS-1a/sim/results/20260422_005700/random_random_2500
  workdir=/tmp/tmp.GyKOy4F4Wn
  started=Wed Apr 22 09:46:45 EDT 2026

Random search (105 params, popsize=48, gens=2500, 5 cycles/eval)
  workers: 15
gen 290  best=+48.4624  mean=-28.2905  pop_best=+48.4624
gen 291  best=+48.4624  mean=-20.6362  pop_best=+48.4624
gen 292  best=+48.4624  mean=-37.8464  pop_best=+48.4624
gen 293  best=+48.4624  mean=-43.6383  pop_best=+48.4624
gen 294  best=+48.4624  mean=-45.5009  pop_best=+48.4624
gen 295  best=+48.4624  mean=-27.8879  pop_best=+48.4624
gen 296  best=+48.4624  mean=-27.6649  pop_best=+48.4624
gen 297  best=+48.4624  mean=-41.3970  pop_best=+48.4624
gen 298  best=+48.4624  mean=-23.2864  pop_best=+48.4624
gen 299  best=+48.4624  mean=-34.9309  pop_best=+48.4624
gen 300  best=+48.4624  mean=-61.0885  pop_best=+48.4624
gen 301  best=+48.4624  mean=-35.1209  pop_best=+48.4624
gen 302  best=+48.4624  mean=-34.0611  pop_best=+48.4624
gen 303  best=+48.4624  mean=-42.4060  pop_best=+48.4624
gen 304  best=+48.4624  mean=-45.8536  pop_best=+48.4624
gen 305  best=+48.4624  mean=-25.2549  pop_best=+48.4624
gen 306  best=+48.4624  mean=-34.8838  pop_best=+48.4624
gen 307  best=+48.4624  mean=-32.7762  pop_best=+48.4624
gen 308  best=+48.4624  mean=-24.0037  pop_best=+48.4624
gen 309  best=+48.4624  mean=-31.9221  pop_best=+48.4624
gen 310  best=+48.4624  mean=-53.2039  pop_best=+48.4624
gen 311  best=+48.4624  mean=-37.0134  pop_best=+48.4624
gen 312  best=+48.4624  mean=-54.2560  pop_best=+48.4624
gen 313  best=+48.4624  mean=-34.0413  pop_best=+48.4624
gen 314  best=+48.4624  mean=-32.7858  pop_best=+48.4624
gen 315  best=+48.4624  mean=-33.6712  pop_best=+48.4624
gen 316  best=+48.4624  mean=-54.3972  pop_best=+48.4624
gen 317  best=+48.4624  mean=-41.7559  pop_best=+48.4624
gen 318  best=+48.4624  mean=-22.4150  pop_best=+48.4624
gen 319  best=+48.4624  mean=-40.5779  pop_best=+48.4624
gen 320  best=+48.4624  mean=-50.6408  pop_best=+48.4624
gen 321  best=+48.4624  mean=-36.9375  pop_best=+48.4624
gen 322  best=+48.4624  mean=-72.2921  pop_best=+48.4624
gen 323  best=+48.4624  mean=-32.7678  pop_best=+48.4624
gen 324  best=+48.4624  mean=-32.1158  pop_best=+48.4624
gen 325  best=+48.4624  mean=-38.4890  pop_best=+48.4624
gen 326  best=+48.4624  mean=-42.7199  pop_best=+48.4624
gen 327  best=+48.4624  mean=-41.7935  pop_best=+48.4624
gen 328  best=+48.4624  mean=-68.0622  pop_best=+48.4624
gen 329  best=+48.4624  mean=-47.5818  pop_best=+48.4624
gen 330  best=+48.4624  mean=-44.3526  pop_best=+48.4624
gen 331  best=+48.4624  mean=-44.1498  pop_best=+48.4624
gen 332  best=+48.4624  mean=-25.2511  pop_best=+48.4624
gen 333  best=+48.4624  mean=-36.6515  pop_best=+48.4624
gen 334  best=+48.4624  mean=-34.6130  pop_best=+48.4624
gen 335  best=+48.4624  mean=-35.3005  pop_best=+48.4624
gen 336  best=+48.4624  mean=-34.0023  pop_best=+48.4624
gen 337  best=+48.4624  mean=-31.2462  pop_best=+48.4624
gen 338  best=+48.4624  mean=-41.6065  pop_best=+48.4624
gen 339  best=+48.4624  mean=-27.9149  pop_best=+48.4624
gen 340  best=+48.4624  mean=-20.0544  pop_best=+48.4624
gen 341  best=+48.4624  mean=-29.5815  pop_best=+48.4624
gen 342  best=+48.4624  mean=-43.0174  pop_best=+48.4624
gen 343  best=+48.4624  mean=-47.1721  pop_best=+48.4624
gen 344  best=+48.4624  mean=-46.0522  pop_best=+48.4624
gen 345  best=+48.4624  mean=-34.0162  pop_best=+48.4624
gen 346  best=+48.4624  mean=-32.1959  pop_best=+48.4624
gen 347  best=+48.4624  mean=-35.3169  pop_best=+48.4624
